code,long_name_en,long_name_tr,long_name_tr_source,component,unit_default,scale_typ
33937-4,Homocystine Free [Moles/volume] in Serum or Plasma,Homosistin.serb:SubKons:Zmlı:Ser/Plaz:Kant,composed,Homocystine.free,umol/L,Qn
33938-2,Interleukin 5 [Mass/volume] in Serum or Plasma,İnterlökin 5:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Interleukin 5,pg/mL,Qn
33939-0,Interleukin 2 [Mass/volume] in Serum or Plasma,İnterlökin 2:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Interleukin 2,pg/mL,Qn
33940-8,Herpes virus 6 DNA [Presence] in Tissue by NAA with probe detection,Herpes virüsü 6 DNA:MevcEşik:Zmlı:Doku:Srl:Prob.amf.hdf,composed,Herpes virus 6 DNA,,Ord
33941-6,Herpes virus 6 DNA [Presence] in Blood by NAA with probe detection,Herpes virüsü 6 DNA:MevcEşik:Zmlı:Kan:Srl:Prob.amf.hdf,composed,Herpes virus 6 DNA,,Ord
33942-4,Herpes virus 6 DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,Herpes virüsü 6 DNA:MevcEşik:Zmlı:BOS:Srl:Prob.amf.hdf,composed,Herpes virus 6 DNA,,Ord
33943-2,Chlamydophila pneumoniae+Chlamydophila psittaci DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,Chlamydophila pneumoniae+Chlamydophila psittaci DNA:MevcEşik:Zmlı:BOS:Srl:Prob.amf.hdf,composed,Chlamydophila pneumoniae+Chlamydophila psittaci DNA,,Ord
3394-4,Benzoylecgonine [Mass/volume] in Urine,Benzoilekgonin:KütlKons:Zmlı:İdrar:Kant,composed,Benzoylecgonine,mg/L,Qn
33944-0,Lambda light chains.free [Mass/volume] in Serum or Plasma,İmmünglobulin hafif zincirler.lambda.serb:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Immunoglobulin light chains.lambda.free,mg/L,Qn
33945-7,Brucella abortus Ab [Titer] in Cerebral spinal fluid,Brucella abortus antikoru [Titre] Beyin omurilik sıvısında,llm,Brucella abortus Ab,{titer},SemiQn
33946-5,Ziprasidone [Mass/volume] in Serum or Plasma,Ziprasidon:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Ziprasidone,ng/mL,Qn
33947-3,Clostridioides difficile toxin neutralizing antibody [Titer] in Serum by Neutralization test,Clostridioides difficile toksin nötralize edici antikoru [Titre] Serumda nötralizasyon testi ile,llm,Clostridioides difficile toxin Ab.Neut,{titer},SemiQn
33948-1,IgG/Creatinine [Mass Ratio] in Urine,IgG/Kreatinin:KütlOr:Zmlı:İdrar:Kant,composed,IgG/Creatinine,mg/g{creat},Qn
33949-9,Potassium/Creatinine [Molar ratio] in Urine,Potasyum/Kreatinin:SOrn:Zmlı:İdrar:Kant,composed,Potassium/Creatinine,mol/mol{creat},Qn
33950-7,Magnesium/Creatinine [Molar ratio] in Urine,Magnezyum/Kreatinin:SOrn:Zmlı:İdrar:Kant,composed,Magnesium/Creatinine,mol/mol{creat},Qn
3395-1,Cocaine [Presence] in Serum or Plasma,Kokain:MevcEşik:Zmlı:Ser/Plaz:Srl,composed,Cocaine,,Ord
33951-5,Sodium/Creatinine [Molar ratio] in Urine,Sodyum/Kreatinin:SOrn:Zmlı:İdrar:Kant,composed,Sodium/Creatinine,mol/mol{creat},Qn
33952-3,Immune complex.IgM [Mass/volume] in Serum or Plasma,İmmün komplkes.IgM:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Immune complex.IgM,mg/dL,Qn
33953-1,Immune complex IgA [Mass/volume] in Serum or Plasma,İmmün kompleks.IgA:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Immune complex.IgA,mg/dL,Qn
33954-9,Immune complex.IgG [Mass/volume] in Serum or Plasma,İmmün kompleks.IgG:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Immune complex.IgG,mg/dL,Qn
33955-6,cycloSPORINE.monoclonal [Mass/volume] in Blood,Siklosporin.monoklonal:KütlKons:Zmlı:Kan:Kant,composed,cycloSPORINE.monoclonal,ng/mL,Qn
33956-4,cycloSPORINE.polyclonal [Mass/volume] in Blood,Siklosporin.poliklonal:KütlKons:Zmlı:Kan:Kant,composed,cycloSPORINE.polyclonal,ng/mL,Qn
33957-2,Normoblasts/Blasts in Blood,Normoblastlar/Blastlar Kanda,llm,Normoblasts/Blasts,%,Qn
33958-0,Cholecalciferol (Vit D3) [Moles/volume] in Serum or Plasma,Kolekalsiferol:SubKons:Zmlı:Ser/Plaz:Kant,composed,Cholecalciferol,nmol/L,Qn
33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,Prokalcitonin:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Procalcitonin,ng/mL,Qn
33960-6,Immune complex IgE [Units/volume] in Serum or Plasma,İmmün kompleks.IgE:SçKons:Zmlı:Ser/Plaz:Kant,composed,Immune complex.IgE,[arb'U]/mL,Qn
33961-4,Sulthiame [Mass/volume] in Serum or Plasma,Sultiyamin:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Sulthiame,mg/L,Qn
33962-2,Melanoma inhibitory activity protein [Mass/volume] in Serum or Plasma,Melanoma engelleyici aktivite proteini:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Melanoma inhibitory activity protein,ng/mL,Qn
33963-0,Granulocytes/Leukocytes in Cerebral spinal fluid,Granülositler/Lökosit:SayFr:Zmlı:BOS:Kant,composed,Granulocytes/Leukocytes,%,Qn
33964-8,SARS coronavirus Urbani RNA [Presence] in Specimen by NAA with probe detection,SARS coronavirus Urbani RNA:MevcEşik:Zmlı:XXX:Srl:Prob.amf.hdf,composed,SARS coronavirus Urbani RNA,,Ord
33965-5,SARS coronavirus Urbani RNA [Presence] in Stool by NAA with probe detection,SARS coronavirus Urbani RNA:MevcEşik:Zmlı:Dışkı:Srl:Prob.amf.hdf,composed,SARS coronavirus Urbani RNA,,Ord
33966-3,SARS coronavirus Urbani RNA [Presence] in Nose by NAA with probe detection,SARS coronavirus Urbani RNA:MevcEşik:Zmlı:Burun:Srl:Prob.amf.hdf,composed,SARS coronavirus Urbani RNA,,Ord
33967-1,SARS coronavirus Urbani RNA [Presence] in Serum or Plasma by NAA with probe detection,SARS coronavirus Urbani RNA:MevcEşik:Zmlı:Ser/Plaz:Srl:Prob.amf.hdf,composed,SARS coronavirus Urbani RNA,,Ord
33968-9,SARS coronavirus Urbani Ab [Presence] in Serum by Immunoassay,SARS coronavirus Urbani Ab:MevcEşik:Zmlı:Ser:Srl:İA,composed,SARS coronavirus Urbani Ab,,Ord
3396-9,Cocaine [Mass/volume] in Serum or Plasma,Kokain:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Cocaine,ng/mL,Qn
33969-7,SARS coronavirus Urbani Ab [Units/volume] in Serum by Immunoassay,SARS coronavirus Urbani Ab:SçKons:Zmlı:Ser:Kant:İA,composed,SARS coronavirus Urbani Ab,[arb'U]/mL,Qn
33970-5,SARS coronavirus Urbani Ab [Presence] in Serum by Immunofluorescence,SARS coronavirus Urbani Ab:MevcEşik:Zmlı:Ser:Srl:IF,composed,SARS coronavirus Urbani Ab,,Ord
33971-3,SARS coronavirus Urbani Ab [Titer] in Serum by Immunofluorescence,SARS coronavirüsü Urbani antikoru [Titre] Serumda immünfloresan ile,llm,SARS coronavirus Urbani Ab,{titer},SemiQn
33972-1,SARS coronavirus Urbani Ab [Presence] in Serum,SARS coronavirus Urbani Ab:MevcEşik:Zmlı:Ser:Srl,composed,SARS coronavirus Urbani Ab,,Ord
33973-9,SARS coronavirus Urbani Ab [Units/volume] in Serum,SARS coronavirus Urbani Ab:SçKons:Zmlı:Ser:Kant,composed,SARS coronavirus Urbani Ab,[arb'U]/mL,Qn
33974-7,SARS coronavirus Urbani Ab [Titer] in Serum,SARS coronavirüsü Urbani antikoru [Titre] Serumda,llm,SARS coronavirus Urbani Ab,{titer},SemiQn
33975-4,SARS coronavirus Urbani RNA [Presence] in Sputum by NAA with probe detection,SARS coronavirus Urbani RNA:MevcEşik:Zmlı:Balgam:Srl:Prob.amf.hdf,composed,SARS coronavirus Urbani RNA,,Ord
3397-7,Cocaine [Presence] in Urine,Kokain:MevcEşik:Zmlı:İdrar:Srl,composed,Cocaine,,Ord
33977-0,Fy sup(a) Ab [Titer] in Serum or Plasma,Fy sup(a) Antikoru [Titre] Serum veya Plazmada,llm,F little y super little a Ab,{titer},SemiQn
33978-8,BK virus DNA [Presence] in Urine by NAA with probe detection,BK virüsü DNA:MevcEşik:Zmlı:İdrar:Srl:Prob.amf.hdf,composed,BK virus DNA,,Ord
33979-6,Voltage-gated calcium channel N type binding Ab [Moles/volume] in Serum,Voltaj kapılı kalsiyum channel N tip bağlayıcı Ab:SubKons:Zmlı:Ser:Kant,composed,Voltage-gated calcium channel N type binding Ab,pmol/L,Qn
33980-4,Voltage-gated calcium channel P/Q type binding Ab [Moles/volume] in Serum,Volta kapılı kalsiyum channel PQ tip bağlayıcı Ab:SubKons:Zmlı:Ser:Kant,composed,Voltage-gated calcium channel PQ type binding Ab,pmol/L,Qn
33981-2,TBP gene CAG repeats [Presence] in Blood or Tissue by Molecular genetics method,TBP geni.CAG tekrarları:MevcEşik:Zmlı:Kan/Dk:Srl:Molgen,composed,TBP gene.CAG repeats,,Ord
33982-0,California Walnut Pollen IgE Ab [Units/volume] in Serum,Juglans california pollen Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Juglans california pollen Ab.IgE,k[IU]/L,Qn
33983-8,U1 small nuclear ribonucleoprotein IgG Ab [Units/volume] in Serum,U1 kçk nükleer ribonükleoprotein Ab.IgG:SçKons:Zmlı:Ser:Kant,composed,U1 small nuclear ribonucleoprotein Ab.IgG,[arb'U]/mL,Qn
33984-6,Coagulation factor X activity actual/normal in Platelet poor plasma by Chromogenic method,Koagülasyon faktörü X aktivitesi gerçek/normal:GörKtlKons:Zmlı:TFkP:Kant:Kromo,composed,Coagulation factor X activity actual/Normal,%,Qn
3398-5,Cocaine [Mass/volume] in Urine,Kokain:KütlKons:Zmlı:İdrar:Kant,composed,Cocaine,ng/mL,Qn
33985-3,Bartonella henselae DNA [Presence] in Tissue by NAA with probe detection,Bartonella henselae DNA:MevcEşik:Zmlı:Doku:Srl:Prob.amf.hdf,composed,Bartonella henselae DNA,,Ord
33986-1,Bartonella henselae DNA [Presence] in Specimen by NAA with probe detection,Bartonella henselae DNA:MevcEşik:Zmlı:XXX:Srl:Prob.amf.hdf,composed,Bartonella henselae DNA,,Ord
33987-9,Heparin cofactor II actual/normal in Platelet poor plasma by Chromogenic method,Heparin kofaktör II gerçek/normal:GörKtlKons:Zmlı:TFkP:Kant:Kromo,composed,Heparin cofactor II actual/Normal,%,Qn
33988-7,Thymidine phosphorylase [Enzymatic activity/mass] in Leukocytes,Timidin fosforilaz:Ktlİçrk:Zmlı:Lökosit:Kant,composed,Thymidine phosphorylase,mg/h/mg{protein},Qn
33989-5,quiNINE induced platelet Ab [Presence] in Serum,Kuinin uyarılmış trombosit Ab:MevcEşik:Zmlı:Ser:Srl,composed,quiNINE induced platelet Ab,,Ord
33990-3,Normoblasts/Leukocytes in Blood,Normoblastlar/Lökosit:SayFr:Zmlı:Kan:Kant,composed,Normoblasts/Leukocytes,/100{WBCs},Qn
33991-1,CD79b cells/cells in Specimen,Hücreler.CD79b/Hücreler:SayFr:Zmlı:XXX:Kant,composed,Cells.CD79b/Cells,%,Qn
33992-9,Pain trigger point [Anatomy] {Primary pain location},,,Pain trigger point,,Nom
3399-3,Benzthiazide [Presence] in Urine,Benztiyazid:MevcEşik:Zmlı:İdrar:Srl,composed,Benzthiazide,,Ord
33993-7,Subject tooth [Anatomy],,,Subject tooth,,Nom
33994-5,Reference tooth [Anatomy],,,Reference tooth,,Nom
33995-2,Tooth development evaluation {Subject tooth}+{Reference tooth},,,Tooth development evaluation,,Nom
33996-0,Tooth size discrepancy Maxilla.cuspid+Mandible.cuspid Measured Bolton analysis,,,Tooth size discrepancy,cm,Qn
33997-8,Tooth size discrepancy Maxilla.first molar+Mandible.first molar Measured Bolton analysis,,,Tooth size discrepancy,cm,Qn
33998-6,Tooth size discrepancy Dentition Estimated Bolton analysis,,,Tooth size discrepancy,,Ord
33999-4,Diagnosis status,,,Status,,Nom
3-4,Almecillin [Susceptibility] by Minimum inhibitory concentration (MIC),Almesilin:Duyr:Zmlı:İzolat:SrlKant:MIC,composed,Almecillin,,OrdQn
340-0,Miocamycin [Susceptibility] by Disk diffusion (KB),Miokamisin:Duyr:Zmlı:İzolat:SrlKant:Agar difüzyon,composed,Miocamycin,,OrdQn
34000-0,Treatment urgency {Diagnosis},,,Treatment urgency,,Ord
34001-8,Etiological factors.dental {Diagnosis.dental},,,Etiological factors.dental,,Nom
34002-6,Tooth position,,,Tooth position,,Nom
34003-4,Tooth impaction,,,Tooth impaction,,Nom
34004-2,Tooth impaction position,,,Tooth impaction position,,Nom
34005-9,Tooth mobility Miller classification,,,Tooth mobility,,Ord
34006-7,Orthodontic treatment [Class],,,Orthodontic treatment,,Nom
34007-5,Type of dentition Dentition,,,Type of dentition,,Nom
34008-3,Status [Class] {Orthodontic treatment},,,Status,,Nom
3400-9,Benzthiazide [Mass/volume] in Urine,Benztiyazid:KütlKons:Zmlı:İdrar:Kant,composed,Benzthiazide,ug/mL,Qn
34009-1,Tooth previously extracted,,,Tooth previously extracted,,Ord
34010-9,Time since last tooth extraction,,,Time since last tooth extraction,,Qn
34011-7,Previous dental surgery,,,Previous dental surgery,,Ord
34012-5,Previous dental appliance wear,,,Previous dental appliance wear,,Ord
34013-3,Periodontal evaluation Gingiva PSR scale,,,Periodontal evaluation,,Ord
34014-1,Periodontal screening and recording special finding Gingiva PSR scale,,,Periodontal screening and recording special finding,,Nom
34015-8,Furcation classification {Tooth} Glickman classification,,,Furcation classification,,Ord
34016-6,Dental plaque {Probe site},,,Dental plaque,,Ord
3401-7,Benzthiazide [Mass/time] in 24 hour Urine,Benztiyazid:KütlHz:24Sa:İdrar:Kant,composed,Benzthiazide,ug/(24.h),Qn
34017-4,Tooth out of bone/Tooth in bone Measured,,,Tooth out of bone/Tooth in bone,{ratio},Qn
34018-2,Bone density {Dental arch} Branemark scale,,,Bone density,,Ord
34019-0,Bone volume {Tooth space} Measured,,,Bone volume,cm3,Qn
34020-8,First bone reference [Anatomy] {Dental arch},,,First bone reference,,Nom
34021-6,Second bone reference [Anatomy] {Dental arch},,,Second bone reference,,Nom
34022-4,Bone adequate {Dental arch},,,Bone adequate,,Ord
34023-2,Bone resorption pattern {Dental arch} Lekholm and Zarb classification,,,Bone resorption pattern,,Nom
34024-0,Reason tooth lost,,,Reason tooth lost,,Nom
3402-5,Bolasterone [Presence] in Urine,Bolasteron:MevcEşik:Zmlı:İdrar:Srl,composed,Bolasterone,,Ord
34025-7,Previous dental prosthesis wear,,,Previous dental prosthesis wear,,Ord
34026-5,Dental prosthesis,,,Dental prosthesis,,Nom
34027-3,Age {Dental prosthesis},,,Age,mo;a,Qn
34028-1,Well maintained {Dental prosthesis},,,Well maintained,,Ord
34029-9,Prosthesis complaint {Dental prosthesis} - Reported,,,Prosthesis complaint,,Ord
34030-7,Reason for prosthesis complaint {Dental prosthesis} - Reported,,,Reason for prosthesis complaint,,Nom
34031-5,Denture base evaluation {Dental arch},,,Denture base evaluation,,Ord
34032-3,Denture teeth evaluation {Dental arch},,,Denture teeth evaluation,,Ord
3403-3,Bolasterone [Mass/volume] in Urine,Bolasteron:KütlKons:Zmlı:İdrar:Kant,composed,Bolasterone,ng/mL,Qn
34033-1,Denture occlusion {Dental prosthesis},,,Denture occlusion,,Nom
34034-9,Alveolar ridge trauma Gingiva,,,Alveolar ridge trauma,,Ord
34035-6,Alveolar ridge pathology Gingiva,,,Alveolar ridge pathology,,Ord
34036-4,Keratinized gingiva,,,Keratinized gingiva,,Ord
34037-2,Size Alveolar ridge Estimated,,,Size,,Ord
34038-0,Problematic maxillary tuberosity,,,Problematic maxillary tuberosity,,Ord
34039-8,Edentulous ridge relationship Maxilla - left and Mandible - left,,,Edentulous ridge relationship,,Nom
34040-6,Edentulous ridge relationship Maxilla - right and Mandible - right,,,Edentulous ridge relationship,,Nom
3404-1,Bolasterone [Mass/time] in 24 hour Urine,Bolasteron:KütlHz:24Sa:İdrar:Kant,composed,Bolasterone,ng/(24.h),Qn
34041-4,Partial edentulism {Dental arch} Kennedy classification,,,Partial edentulism classification,,Nom
34042-2,Partially endentulous maxillectomy Aramany classification,,,Partially endentulous maxillectomy classification,,Nom
34043-0,Dental examination method Dentition,,,Dental examination method,,Nom
34044-8,Magnification instrument,,,Magnification instrument,,Nom
34045-5,Oral evaluation exam,,,Oral evaluation exam,,Nom
34046-3,Medical history contribution {Chief complaint},,,Medical history contribution,,Ord
34047-1,Dental history contribution {Chief complaint},,,Dental history contribution,,Ord
34048-9,Dental material used/Proposed,,,Dental material used &or Proposed,,Nom
34049-7,Number of impressions Dentition,,,Number of impressions,{#},Qn
34050-5,Bone height {First bone reference}+{Second bone reference} Measured,,,Bone height,cm,Qn
34051-3,Bone width {First bone reference}+{Second bone reference} Measured,,,Bone width,cm,Qn
34052-1,Bone length {First bone reference}+{Second bone reference} Measured,,,Bone length,cm,Qn
34053-9,Xylose [Moles/volume] in Serum or Plasma --2 hours post 5 g xylose PO,Ksiloz^2Sa snr 5 g oral ksiloz:SubKons:Zmlı:Ser/Plaz:Kant,composed,Xylose^2H post 5 g xylose PO,mmol/L,Qn
34054-7,Thyrotropin [Units/volume] in Serum or Plasma --pre or post dose TRH,Tirotropin^önc veya snr TRH dozu:SçKons:Zmlı:Ser/Plaz:Kant,composed,Thyrotropin^pre or post dose TRH,m[IU]/L,Qn
34055-4,Lutropin [Units/volume] in Serum or Plasma --pre or post XXX challenge,Lutropin^önc veya snr XXX girişimi:SçKons:Zmlı:Ser/Plaz:Kant,composed,Lutropin^pre or post XXX challenge,m[IU]/mL,Qn
34056-2,Glucose [Moles/volume] in Serum or Plasma --pre or post dose arginine,Glukoz^önc veya snr arjinin dozu:SubKons:Zmlı:Ser/Plaz:Kant,composed,Glucose^pre or post dose arginine,mmol/L,Qn
34057-0,Glucose [Moles/volume] in Serum or Plasma --pre or post dose cloNIDine,Glukoz^önc veya snr klonidin dozu:SubKons:Zmlı:Ser/Plaz:Kant,composed,Glucose^pre or post dose cloNIDine,mmol/L,Qn
3405-8,Bromazepam [Mass/volume] in Serum or Plasma,Bromazepam:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Bromazepam,ng/mL,Qn
34058-8,Glucose [Moles/volume] in Serum or Plasma --pre or post dose glucagon,Glukoz^önc veya snr glukagon dozu:SubKons:Zmlı:Ser/Plaz:Kant,composed,Glucose^pre or post dose glucagon,mmol/L,Qn
34059-6,Glucose [Moles/volume] in Serum or Plasma --pre or post dose glucose,Glukoz^önc veya snr snr glukoz dozu:SubKons:Zmlı:Ser/Plaz:Kant,composed,Glucose^pre or post dose glucose,mmol/L,Qn
34060-4,Glucose [Moles/volume] in Serum or Plasma --pre or post dose insulin,Glukoz^önc veya snr insülin dozu:SubKons:Zmlı:Ser/Plaz:Kant,composed,Glucose^pre or post dose insulin,mmol/L,Qn
34061-2,Somatotropin [Mass/volume] in Serum or Plasma --pre or post dose arginine,Somatotropin^önc veya snr arjinin dozu:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Somatotropin^pre or post dose arginine,ng/mL,Qn
34062-0,Somatotropin [Mass/volume] in Serum or Plasma --pre or post dose cloNIDine,Somatotropin^önc veya snr klonidin dozu:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Somatotropin^pre or post dose cloNIDine,ng/mL,Qn
34063-8,Somatotropin [Mass/volume] in Serum or Plasma --pre or post dose glucagon,Somatotropin^önc veya snr glukagon dozu:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Somatotropin^pre or post dose glucagon,ng/mL,Qn
34064-6,Somatotropin [Mass/volume] in Serum or Plasma --pre or post dose insulin,Somatotropin^önc veya snr insülin dozu:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Somatotropin^pre or post dose insulin,ng/mL,Qn
34065-3,Cortisol [Moles/volume] in Serum or Plasma --pre or post dose corticotropin,Kortizol^önc veya snr kortikotropin dozu:SubKons:Zmlı:Ser/Plaz:Kant,composed,Cortisol^pre or post dose corticotropin,nmol/L,Qn
3406-6,Bromazepam [Mass/volume] in Urine,Bromazepam:KütlKons:Zmlı:İdrar:Kant,composed,Bromazepam,ng/mL,Qn
34066-1,FDA package insert Boxed warning section,,,Boxed warning section,,Nar
34067-9,FDA package insert Indications and usage section,,,Indications & usage section,,Nar
34068-7,FDA package insert Dosage and administration section,,,Dosage & administration section,,Nar
34069-5,FDA package insert How supplied section,,,How supplied section,,Nar
34070-3,FDA package insert Contraindications section,,,Contraindications section,,Nar
34071-1,FDA package insert Warnings section,,,Warnings section,,Nar
34072-9,FDA package insert General precautions section,,,General precautions section,,Nar
34073-7,FDA package insert Drug interactions section,,,Drug interactions section,,Nar
3407-4,Brompheniramine [Presence] in Serum or Plasma,Bromfeniramin:MevcEşik:Zmlı:Ser/Plaz:Srl,composed,Brompheniramine,,Ord
34074-5,FDA package insert Drug/laboratory test interactions section,,,Drug &or laboratory test interactions section,,Nar
34075-2,FDA package insert Laboratory tests section,,,Laboratory tests section,,Nar
34076-0,FDA package insert Information for patients section,,,Information for patients section,,Nar
34077-8,FDA package insert Teratogenic effects section,,,Teratogenic effects section,,Nar
34078-6,FDA package insert Nonteratogenic effects section,,,Nonteratogenic effects section,,Nar
34079-4,FDA package insert Labor and delivery section,,,Labor & delivery section,,Nar
34080-2,FDA package insert Nursing mothers section,,,Nursing mothers section,,Nar
34081-0,FDA package insert Pediatric use section,,,Pediatric use section,,Nar
3408-2,Brompheniramine [Presence] in Urine,Bromfeniramin:MevcEşik:Zmlı:İdrar:Srl,composed,Brompheniramine,,Ord
34082-8,FDA package insert Geriatric use section,,,Geriatric use section,,Nar
34083-6,FDA package insert Carcinogenesis and mutagenesis and impairment of fertility section,,,Carcinogenesis & mutagenesis & impairment of fertility section,,Nar
34084-4,FDA package insert Adverse reactions section,,,Adverse reactions section,,Nar
34085-1,FDA package insert Controlled substance section,,,Controlled substance section,,Nar
34086-9,FDA package insert Abuse section,,,Abuse section,,Nar
34087-7,FDA package insert Dependence section,,,Dependence section,,Nar
34088-5,FDA package insert Overdosage section,,,Overdosage section,,Nar
34089-3,FDA package insert Description section,,,Description section,,Nar
3409-0,Bumetanide [Presence] in Urine,Bumetanid:MevcEşik:Zmlı:İdrar:Srl,composed,Bumetanide,,Ord
34090-1,FDA package insert Clinical pharmacology section,,,Clinical pharmacology section,,Nar
34091-9,FDA package insert Animal pharmacology/toxicology section,,,Animal pharmacology &or toxicology section,,Nar
34092-7,FDA package insert Clinical studies section,,,Clinical studies section,,Nar
34093-5,FDA package insert References section,,,References section,,Nar
34094-3,Cardiology Hospital Admission history and physical note,,,Admission history and physical note,,Doc
34095-0,Comprehensive history and physical note,,,Comprehensive history and physical note,,Doc
34096-8,Nursing facility Comprehensive history and physical note,,,Comprehensive history and physical note,,Doc
34097-6,Nursing facility Conference note,,,Conference note,,Doc
34098-4,Conference note,,,Conference note,,Doc
34099-2,Cardiology Consult note,,,Consultation note,,Doc
34100-8,Intensive care unit Consult note,,,Consultation note,,Doc
34101-6,General medicine Outpatient Consult note,,,Consultation note,,Doc
34102-4,Psychiatry Hospital Consult note,,,Consultation note,,Doc
34103-2,Pulmonary Consult note,,,Consultation note,,Doc
34104-0,Hospital Consult note,,,Consultation note,,Doc
34105-7,Hospital Discharge summary,,,Discharge summary note,,Doc
34106-5,Physician Hospital Discharge summary,,,Discharge summary note,,Doc
34107-3,Patient's home Education note,,,Education note,,Doc
3410-8,Bumetanide [Mass/volume] in Urine,Bumetanid:KütlKons:Zmlı:İdrar:Kant,composed,Bumetanide,ng/mL,Qn
34108-1,Outpatient Note,,,Note,,Doc
34109-9,Note,,,Note,,Doc
34110-7,Diabetology Outpatient Note,,,Note,,Doc
34111-5,Emergency department Note,,,Note,,Doc
34112-3,Hospital Note,,,Note,,Doc
34113-1,Nursing facility Note,,,Note,,Doc
34114-9,Hospital Group counseling note,,,Group counseling note,,Doc
34115-6,Medical student Hospital History and physical note,,,History and physical note,,Doc
3411-6,Bumetanide [Mass/time] in 24 hour Urine,Bumetanid:KütlHz:24Sa:İdrar:Kant,composed,Bumetanide,ng/(24.h),Qn
34116-4,Physician Nursing facility History and physical note,,,History and physical note,,Doc
34117-2,History and physical note,,,History and physical note,,Doc
34118-0,Patient's home Initial evaluation note,,,Initial evaluation note,,Doc
34119-8,Nursing facility Initial evaluation note,,,Initial evaluation note,,Doc
34120-6,Outpatient Initial evaluation note,,,Initial evaluation note,,Doc
34121-4,Interventional procedure note,,,Interventional procedure note,,Doc
34122-2,Pathology procedure note,,,Procedure note,,Doc
34123-0,Anesthesiology Hospital Preoperative evaluation and management note,,,Preoperative evaluation and management note,,Doc
3412-4,Bupivacaine [Mass/volume] in Serum or Plasma,Bupivakain:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Bupivacaine,ug/mL,Qn
34124-8,Cardiology Outpatient Progress note,,,Progress note,,Doc
34125-5,Case manager Patient's home Progress note,,,Progress note,,Doc
34126-3,Intensive care unit Progress note,,,Progress note,,Doc
34127-1,Dentistry Hygienist Outpatient Progress note,,,Progress note,,Doc
34128-9,Dentistry Outpatient Progress note,,,Progress note,,Doc
34129-7,Patient's home Progress note,,,Progress note,,Doc
34130-5,Hospital Progress note,,,Progress note,,Doc
34131-3,Outpatient Progress note,,,Progress note,,Doc
3413-2,Buprenorphine [Mass/volume] in Serum or Plasma,Buprenorfin:KütlKons:Zmlı:Ser/Plaz:Kant,composed,Buprenorphine,ng/mL,Qn
34132-1,Pharmacology Outpatient Progress note,,,Progress note,,Doc
34133-9,Summary of episode note,,,Summary of episode note,,Doc
34134-7,Attending Outpatient Supervisory note,,,Supervisory note,,Doc
34135-4,Cardiology Attending Outpatient Supervisory note,,,Supervisory note,,Doc
34136-2,Gastroenterology Attending Outpatient Supervisory note,,,Supervisory note,,Doc
34137-0,Outpatient Surgical operation note,,,Surgical operation note,,Doc
34138-8,Targeted history and physical note,,,Targeted history and physical note,,Doc
34139-6,Nurse Telephone encounter Note,,,Note,,Doc
3414-0,Buprenorphine [Presence] in Urine,Buprenorfin:MevcEşik:Zmlı:İdrar:Srl,composed,Buprenorphine,,Ord
34141-2,Maximum blood flow rate by US,,,Blood flow rate.max,mL/s,Qn
34142-0,Paraneoplastic Ab [Presence] in Serum by Immunoblot,Paraneoplastik Ab:MevcEşik:Zmlı:Ser:Srl:IB,composed,Paraneoplastic Ab,,Ord
34143-8,HLA-DQ locus 2 [Type],HLA-DQ locus 2:Tip:Zmlı:Kan/Dk:Snf,composed,HLA-DQ locus 2,,Nom
34145-3,Human antichimeric Ab [Mass/volume] in Serum,Human antichimeric Ab:KütlKons:Zmlı:Ser:Kant,composed,Human antichimeric Ab,ueq/mL,Qn
34146-1,Neopterin [Moles/volume] in Cerebral spinal fluid,Neopterin:SubKons:Zmlı:BOS:Kant,composed,Neopterin,nmol/L,Qn
34147-9,Treponema pallidum IgG+IgM Ab [Presence] in Serum,Treponema pallidum Ab.IgG+IgM:MevcEşik:Zmlı:Ser:Srl,composed,Treponema pallidum Ab.IgG+IgM,,Ord
34148-7,Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum,Borrelia burgdorferi Ab.IgG+IgM:SçKons:Zmlı:Ser:Kant,composed,Borrelia burgdorferi Ab.IgG+IgM,{Index_val},Qn
