code,description_tr,description_en,parent_code,is_billable
G50.8,Trigeminal sinirin diğer bozuklukları,Other disorders of trigeminal nerve,G50,true
G50.9,"Trigeminal sinir bozukluğu, tanımlanmamış","Disorder of trigeminal nerve, unspecified",G50,true
G51,Fasiyal sinir bozuklukları,,G50-G59,false
G51.0,Bell palsisi,Bells palsy,G51,true
G51.1,Genikülat gangliyonit,Geniculate ganglionitis,G51,true
G51.2,Melkersson sendromu,Melkerssons syndrome,G51,true
G51.3,Klonik hemifasiyal spazm,Clonic hemifacial spasm,G51,true
G51.4,Fasiyal miyokimi,Facial myokymia,G51,true
G51.8,Fasiyal sinirin diğer bozuklukları,Other disorders of facial nerve,G51,true
G51.9,"Fasiyal sinir bozukluğu, tanımlanmamış","Disorder of facial nerve, unspecified",G51,true
G52,Diğer kranyal sinirlerin bozuklukları,,G50-G59,false
G52.0,Olfaktor sinir bozuklukları,Disorders of olfactory nerve,G52,true
G52.1,Glossofarenjiyal sinir bozuklukları,Disorders of glossopharyngeal nerve,G52,true
G52.2,Vagus siniri bozuklukları,Disorders of vagus nerve,G52,true
G52.3,Hipoglossal sinir bozuklukları,Disorders of hypoglossal nerve,G52,true
G52.7,Çoğul kranyal sinirlerin bozuklukları,Disorders of multiple cranial nerves,G52,true
G52.8,Diğer tanımlanmış kranyal sinirlerin bozuklukları,Disorders of other specified cranial nerves,G52,true
G52.9,"Kranyal sinir bozukluğu, tanımlanmamış","Cranial nerve disorder, unspecified",G52,true
G53,Başka yerde sınıflanmış hastalıklarda kranyal sinir bozuklukları,,G50-G59,false
G53.0,Postzoster nöralji (B02.2†),Postzoster neuralgia,G53,true
G53.1,Başka yerde sınıflanmış enfeksiyöz ve paraziter hastalıklarda çoğul kranyal sinir felçleri (A00-B99†),Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,G53,true
G53.2,Sarkoidozda çoğul kranyal sinir felçleri (D86.8†),Multiple cranial nerve palsies in sarcoidosis,G53,true
G53.3,Neoplastik hastalıklarda çoğul kranyal sinir felçleri (C00-D48†),Multiple cranial nerve palsies in neoplastic disease,G53,true
G53.8,Başka yerde sınıflanmış diğer hastalıklarda diğer kranyal sinir bozuklukları,Other cranial nerve disorders in other diseases classified elsewhere,G53,true
G54,Sinir kökü ve pleksus bozuklukları,,G50-G59,false
G54.0,Brakiyal pleksus bozuklukları,Brachial plexus disorders,G54,true
G54.1,Lumbosakral pleksus bozuklukları,Lumbosacral plexus disorders,G54,true
G54.2,"Servikal kök bozuklukları, başka yerde sınıflandırılmamış","Cervical root disorders, not elsewhere classified",G54,true
G54.3,"Torasik kök bozuklukları, başka yerde sınıflandırılmamış","Thoracic root disorders, not elsewhere classified",G54,true
G54.4,"Lumbosakral kök bozuklukları, başka yerde sınıflandırılmamış","Lumbosacral root disorders, not elsewhere classified",G54,true
G54.5,Nöraljik amiyotrofi,Neuralgic amyotrophy,G54,true
G54.6,Ağrılı hayalet [fantom] ekstremite sendromu,Phantom limb syndrome with pain,G54,true
G54.7,Ağrısız hayalet [fantom] ekstremite sendromu,Phantom limb syndrome without pain,G54,true
G54.8,Diğer sinir kökü ve pleksus bozuklukları,Other nerve root and plexus disorders,G54,true
G54.9,"Sinir kökü ve pleksus bozukluğu, tanımlanmamış","Nerve root and plexus disorder, unspecified",G54,true
G55,Başka yerde sınıflanmış hastalıklarda sinir kökü ve pleksus sıkışmaları,,G50-G59,false
G55.0,Neoplastik hastalıkta sinir kökü ve pleksus sıkışmaları (C00-D48†),Nerve root and plexus compressions in neoplastic disease,G55,true
G55.1,İntervertebral disk bozukluklarında sinir kökü ve pleksus sıkışmaları (M50-M51†),Nerve root and plexus compressions in intervertebral disc disorders,G55,true
G55.2,Spondilozda sinir kökü ve pleksus sıkışmaları (M47.-†),Nerve root and plexus compressions in spondylosis,G55,true
G55.3,"Diğer dorsopatilerde sinir kökü ve pleksus sıkışmaları (M45-M46†, M48.-†, M53-M54†)",Nerve root and plexus compressions in other dorsopathies,G55,true
G55.8,Başka yerde sınıflanmış diğer hastalıklarda sinir kökü ve pleksus sıkışmaları,Nerve root and plexus compressions in other diseases classified elsewhere,G55,true
G56,Üst uzuv mononöropatileri,,G50-G59,false
G56.0,Karpal tünel sendromu,Carpal tunnel syndrome,G56,true
G56.1,Median sinirin diğer lezyonları,Other lesions of median nerve,G56,true
G56.2,Ulnar sinirin diğer lezyonları,Lesion of ulnar nerve,G56,true
G56.3,Radial sinir lezyonu,Lesion of radial nerve,G56,true
G56.4,Üst uzuv kozaljisi,Causalgia,G56,true
G56.8,Üst uzuvun diğer mononöropatileri,Other mononeuropathies of upper limb,G56,true
G56.9,"Üst uzuvun mononöropatisi, tanımlanmamış","Mononeuropathy of upper limb, unspecified",G56,true
G57,Alt uzuvun mononöropatileri,,G50-G59,false
G57.0,Siyatik sinir lezyonu,Lesion of sciatic nerve,G57,true
G57.1,Meralji parestetik,Meralgia paraesthetica,G57,true
G57.2,Femoral sinir lezyonu,Lesion of femoral nerve,G57,true
G57.3,Lateral popliteal sinir lezyonu,Lesion of lateral popliteal nerve,G57,true
G57.4,Medial popliteal sinir lezyonu,Lesion of medial popliteal nerve,G57,true
G57.5,Tarsal tünel sendromu,Tarsal tunnel syndrome,G57,true
G57.6,Plantar sinir lezyonu,Lesion of plantar nerve,G57,true
G57.7,Alt uzuv kozaljisi,,G57,true
G57.8,Alt uzuvun diğer mononöropatileri,Other mononeuropathies of lower limb,G57,true
G57.9,"Alt uzuvun mononöropatisi, tanımlanmamış","Mononeuropathy of lower limb, unspecified",G57,true
G58,Diğer mononöropatiler,,G50-G59,false
G58.0,İnterkostal nöropati,Intercostal neuropathy,G58,true
G58.1,Kompleks bölgesel ağrı sendromu tip 1,,G58,false
G58.10,"Kompleks bölgesel ağrı sendromu tip 1, tanımlanmamış yer",,G58.1,true
G58.11,"Kompleks bölgesel ağrı sendromu tip 1, üzt uzuv",,G58.1,true
G58.12,"Kompleks bölgesel ağrı sendromu tip 1, alt uzuv",,G58.1,true
G58.19,"Kompleks bölgesel ağrı sendromu tip 1, diğer tanımlanmış yer",,G58.1,true
G58.7,Mononöritis multipleks,Mononeuritis multiplex,G58,true
G58.8,Diğer tanımlanmış mononöropatiler,Other specified mononeuropathies,G58,true
G58.9,"Mononöropati, tanımlanmamış","Mononeuropathy, unspecified",G58,true
G59,Başka yerde sınıflanmış hastalıklarda mononöropati,,G50-G59,true
G60-G64,Periferik sinir sisteminin polinöropatileri ve diğer hastalıkları,,G00-G99,false
G60,Kalıtsal ve idiyopatik nöropati,,G60-G64,false
G60.0,Kalıtsal motor ve duyusal nöropati,Hereditary motor and sensory neuropathy,G60,true
G60.1,Refsum hastalığı,Refsums disease,G60,true
G60.2,Kalıtsal ataksi ile ilişkili nöropati,Neuropathy in association with hereditary ataxia,G60,true
G60.3,İdiyopatik progresif / ilerleyici nöropati,Idiopathic progressive neuropathy,G60,true
G60.8,Diğer kalıtsal ve idiyopatik nöropatiler,Other hereditary and idiopathic neuropathies,G60,true
G60.9,"Kalıtsal ve idiyopatik nöropati, tanımlanmamış","Hereditary and idiopathic neuropathy, unspecified",G60,true
G61,Enflamatuvar polinöropati,,G60-G64,false
G61.0,Guillain-Barre sendromu,Guillain-Barre syndrome,G61,true
G61.1,Serum nöropatisi,Serum neuropathy,G61,true
G61.8,Diğer enflamatuvar polinöropatiler,Other inflammatory polyneuropathies,G61,true
G61.9,"Enflamatuvar polinöropati, tanımlanmamış","Inflammatory polyneuropathy, unspecified",G61,true
G62,Diğer polinöropatiler,,G60-G64,false
G62.0,İlaca bağlı polinöropati,Drug-induced polyneuropathy,G62,true
G62.1,Alkolik polinöropati,Alcoholic polyneuropathy,G62,true
G62.2,Diğer toksik ajanlara bağlı polinöropati,Polyneuropathy due to other toxic agents,G62,true
G62.8,Diğer tanımlanmış polinöropatiler,Other specified polyneuropathies,G62,true
G62.9,"Polinöropati, tanımlanmamış","Polyneuropathy, unspecified",G62,true
G63,Başka yerde sınıflanmış hastalıklarda polinöropati,,G60-G64,false
G63.0,Başka yerde sınıflanmış enfeksiyöz ve paraziter hastalıklarda polinöropati,Polyneuropathy in infectious and parasitic diseases classified elsewhere,G63,true
G63.1,Neoplastik hastalıkta polinöropati (C00-D48†),Polyneuropathy in neoplastic disease,G63,true
G63.3,"Endokrin ve metabolik hastalıklarda polinöropati (E00-E07†, E15-E16†, E20-E34†, E70-E89†)",Polyneuropathy in other endocrine and metabolic diseases,G63,true
G63.4,Nütrisyonel yetmezlikte polinöropati (E40-E64†),Polyneuropathy in nutritional deficiency,G63,true
G63.5,Sistemik bağ dokusu bozukluklarında polinöropati (M30-M35†),Polyneuropathy in systemic connective tissue disorders,G63,true
G63.6,"Diğer kas-iskelet bozukluklarında polinöropati (M00-M25†, M40-M96†)",Polyneuropathy in other musculoskeletal disorders,G63,true
G63.8,Başka yerde sınıflanmış diğer hastalıklarda polinöropati,Polyneuropathy in other diseases classified elsewhere,G63,true
G64,Periferik sinir sisteminin diğer bozuklukları,Other disorders of peripheral nervous system,G60-G64,true
G70-G73,Miyonöronal birleşke ve kas hastalıkları,,G00-G99,false
G70,Miyastenya gravis ve diğer miyonöral bozukluklar,,G70-G73,false
G70.0,Miyastenya gravis,Myasthenia gravis,G70,true
G70.1,Toksik miyonöral bozukluklar,Toxic myoneural disorders,G70,true
G70.2,Konjenital ve gelişimsel miyasteni,Congenital and developmental myasthenia,G70,true
G70.8,Diğer tanımlanmış miyonöral bozukluklar,Other specified myoneural disorders,G70,true
G70.9,"Miyonöral bozukluk, tanımlanmamış","Myoneural disorder, unspecified",G70,true
G71,Kasların primer bozuklukları,,G70-G73,false
G71.0,Musküler distrofi,Muscular dystrophy,G71,true
G71.1,Miyotonik bozukluklar,Myotonic disorders,G71,true
G71.2,Konjenital miyopatiler,Congenital myopathies,G71,true
G71.3,"Mitokondriyel miyopati, başka yerde sınıflandırılmamış","Mitochondrial myopathy, not elsewhere classified",G71,true
G71.8,Kasların diğer primer bozuklukları,Other primary disorders of muscles,G71,true
G71.9,"Primer kas bozukluğu, tanımlanmamış","Primary disorder of muscle, unspecified",G71,true
G72,Diğer miyopatiler,,G70-G73,false
G72.0,İlaca bağlı miyopati,Drug-induced myopathy,G72,true
G72.1,Alkolik miyopati,Alcoholic myopathy,G72,true
G72.2,Diğer toksik ajanlara bağlı miyopati,Myopathy due to other toxic agents,G72,true
G72.3,Periyodik paralizi,Periodic paralysis,G72,true
G72.4,"Enflamatuvar myopati, başka yerde sınıflandırılmamış","Inflammatory myopathy, not elsewhere classified",G72,true
G72.8,Diğer tanımlanmış miyopatiler,Other specified myopathies,G72,true
G72.9,"Miyopati, tanımlanmamış","Myopathy, unspecified",G72,true
G73,Başka yerde sınıflanmış hastalıklarda miyonöronal birleşke ve kas bozuklukları,,G70-G73,false
G73.0,Endokrin hastalıklarda miyastenik sendromlar,Myasthenic syndromes in endocrine diseases,G73,true
G73.1,Eaton-Lambert sendromu (C80†),Eaton-Lambert syndrome,G73,true
G73.2,Neoplastik hastalıkta diğer miyastenik sendromlar (C00-D48†),Other myasthenic syndromes in neoplastic disease,G73,true
G73.3,Başka yerde sınıflanmış diğer hastalıklarda miyastenik sendromlar,Myasthenic syndromes in other diseases classified elsewhere,G73,true
G73.4,Başka yerde sınıflanmış enfeksiyöz ve paraziter hastalıklarda miyopati,Myopathy in infectious and parasitic diseases classified elsewhere,G73,true
G73.5,Endokrin hastalıklarda miyopati,Myopathy in endocrine diseases,G73,true
G73.6,Metabolik hastalıklarda miyopati,Myopathy in metabolic diseases,G73,true
G73.7,Başka yerde sınıflanmış diğer hastalıklarda miyopati,Myopathy in other diseases classified elsewhere,G73,true
G80-G83,Serebral palsi ve diğer paralitik sendromlar,,G00-G99,false
G80,Serebral palsi,,G80-G83,false
G80.0,Spastik serebral palsi,Spastic cerebral palsy,G80,false
G80.00,"Spastik serebral palsi, tanımlanmamış",,G80.0,true
G80.01,Spastik diplejik serebral palsi,,G80.0,true
G80.02,Spastik hemiplejik serebral palsi,,G80.0,true
G80.03,Spastik kuadriplejik serebral palsi,,G80.0,true
G80.09,Diğer spastik serebral palsi,,G80.0,true
G80.3,Diskinetik serebral palsi,Dyskinetic cerebral palsy,G80,true
G80.4,Ataksik serebral palsi,Ataxic cerebral palsy,G80,true
G80.8,Diğer serebral palsi,Other infantile cerebral palsy,G80,true
G80.9,"Serebral palsi, tanımlanmamış","Infantile cerebral palsy, unspecified",G80,true
G81,Hemipleji,,G80-G83,false
G81.0,Flasid hemipleji,Flaccid hemiplegia,G81,true
G81.1,Spastik hemipleji,Spastic hemiplegia,G81,true
G81.9,"Hemipleji, tanımlanmamış","Hemiplegia, unspecified",G81,true
G82,Parapleji ve tetrapleji,,G80-G83,false
G82.0,Flasid parapleji,Flaccid paraplegia,G82,false
G82.00,"Flasid parapleji, tanımlanmamış",,G82.0,true
G82.01,"Flasid parapleji, tanımlanmamış, akut",,G82.0,true
G82.02,"Flasid parapleji, tanımlanmamış, kronik",,G82.0,true
G82.03,"Flasid parapleji, tam, akut",,G82.0,true
G82.04,"Flasid parapleji, tam, kronik",,G82.0,true
G82.05,"Flasid parapleji, inkomplet, akut",,G82.0,true
G82.06,"Flasid parapleji, inkomplet, kronik",,G82.0,true
G82.1,Spastik parapleji,Spastic paraplegia,G82,false
G82.10,"Spastik parapleji, tanımlanmamış",,G82.1,true
G82.11,"Spastik parapleji, tanımlanmamış, akut",,G82.1,true
G82.12,"Spastik parapleji, tanımlanmamış, kronik",,G82.1,true
G82.13,"Spastik parapleji, tam, akut",,G82.1,true
G82.14,"Spastik parapleji, tam, kronik",,G82.1,true
G82.15,"Spastik parapleji, inkomplet, akut",,G82.1,true
G82.16,"Spastik parapleji, inkomplet, kronik",,G82.1,true
G82.2,"Parapleji, tanımlanmamış","Paraplegia, unspecified",G82,false
G82.20,"Parapleji, tanımlanmamış",,G82.2,true
G82.21,"Parapleji, tanımlanmamış, akut",,G82.2,true
G82.22,"Parapleji, tanımlanmamış, kronik",,G82.2,true
G82.23,"Parapleji, tanımlanmamış, tam, akut",,G82.2,true
G82.24,"Parapleji, tanımlanmamış, tam, kronik",,G82.2,true
G82.25,"Parapleji, tanımlanmamış, inkomplet, akut",,G82.2,true
G82.26,"Parapleji, tanımlanmamış, inkomplet, kronik",,G82.2,true
G82.3,Flasid tetrapleji,Flaccid tetraplegia,G82,false
G82.30,"Flasid tetrapleji, tanımlanmamış",,G82.3,true
G82.31,"Flasid tetrapleji, tanımlanmamış, akut",,G82.3,true
G82.32,"Flasid tetrapleji, tanımlanmamış, kronik",,G82.3,true
G82.33,"Flasid tetrapleji, tam, akut",,G82.3,true
G82.34,"Flasid tetrapleji, tam, kronik",,G82.3,true
G82.35,"Flasid tetrapleji, inkomplet, akut",,G82.3,true
G82.36,"Flasid tetrapleji, inkomplet, kronik",,G82.3,true
G82.4,Spastik tetrapleji,Spastic tetraplegia,G82,false
G82.40,"Spastik tetrapleji, tanımlanmamış",,G82.4,true
G82.41,"Spastik tetrapleji, tanımlanmamış, akut",,G82.4,true
G82.42,"Spastik tetrapleji, tanımlanmamış, kronik",,G82.4,true
G82.43,"Spastik tetrapleji, tam, akut",,G82.4,true
G82.44,"Spastik tetrapleji, tam, kronik",,G82.4,true
G82.45,"Spastik tetrapleji, inkomplet, akut",,G82.4,true
G82.46,"Spastik tetrapleji, inkomplet, kronik",,G82.4,true
G82.5,"Tetrapleji, tanımlanmamış","Tetraplegia, unspecified",G82,false
G82.50,"Tetrapleji, tanımlanmamış",,G82.5,true
G82.51,"Tetrapleji, tanımlanmamış, akut",,G82.5,true
G82.52,"Tetrapleji, tanımlanmamış, kronik",,G82.5,true
G82.53,"Tetrapleji, tanımlanmamış, tam, akut",,G82.5,true
G82.54,"Tetrapleji, tanımlanmamış, tam, kronik",,G82.5,true
G82.55,"Tetrapleji, tanımlanmamış, inkomplet, akut",,G82.5,true
G82.56,"Tetrapleji, tanımlanmamış, inkomplet, kronik",,G82.5,true
G83,Diğer paralitik sendromlar,,G80-G83,false
G83.0,Üst uzuvların diplejisi,Diplegia of upper limbs,G83,true
G83.1,Alt uzuv monoplejisi,Monoplegia of lower limb,G83,true
G83.2,Üst uzuv monoplejisi,Monoplegia of upper limb,G83,true
G83.3,"Monopleji, tanımlanmamış","Monoplegia, unspecified",G83,true
G83.4,Kauda ekuina sendromu,Cauda equina syndrome,G83,true
G83.8,Diğer tanımlanmış paralitik sendromlar,Other specified paralytic syndromes,G83,true
G83.9,"Paralitik sendrom, tanımlanmamış","Paralytic syndrome, unspecified",G83,true
G90-G99,Sinir sisteminin diğer bozuklukları,,G00-G99,false
G90,Otonom sinir sistemi bozuklukları,,G90-G99,false
G90.0,İdiyopatik periferik otonom nöropati,Idiopathic peripheral autonomic neuropathy,G90,true
G90.1,Ailesel disotonomi [Riley-Day],Familial dysautonomia [Riley-Day],G90,true
G90.2,Horner sendromu,Horners syndrome,G90,true
G90.3,Çoğul sistem dejenerasyonu,Multi-system degeneration,G90,true
G90.8,Otonom sinir sisteminin diğer bozuklukları,Other disorders of autonomic nervous system,G90,true
G90.9,"Otonom sinir sistemi bozukluğu, tanımlanmamış","Disorder of autonomic nervous system, unspecified",G90,true
G91,Hidrosefali,,G90-G99,false
G91.0,Komünikan hidrosefali,Communicating hydrocephalus,G91,true
G91.1,Obstrüktif hidrosefali,Obstructive hydrocephalus,G91,true
G91.2,Normal-basınçlı hidrosefali,Normal-pressure hydrocephalus,G91,true
G91.3,"Post-travmatik hidrosefali, tanımlanmamış","Post-traumatic hydrocephalus, unspecified",G91,true
G91.8,Diğer hidrosefali,Other hydrocephalus,G91,true
G91.9,"Hidrosefali, tanımlanmamış","Hydrocephalus, unspecified",G91,true
G92,Toksik ensefalopati,Toxic encephalopathy,G90-G99,true
G93,Beynin diğer bozuklukları,,G90-G99,false
G93.0,Serebral kistler,Cerebral cysts,G93,true
G93.1,"Anoksik beyin hasarı, başka yerde sınıflandırılmamış","Anoxic brain damage, not elsewhere classified",G93,true
G93.2,İyi huylu intrakranyal hipertansiyon,Benign intracranial hypertension,G93,true
G93.3,Postviral yorgunluk sendromu,Postviral fatigue syndrome,G93,true
G93.4,"Ensefalopati, tanımlanmamış","Encephalopathy, unspecified",G93,true
G93.5,Beyin kompresyonu,Compression of brain,G93,true
G93.6,Serebral ödem,Cerebral oedema,G93,true
G93.7,Reye sendromu,Reyes syndrome,G93,true
G93.8,Beynin diğer tanımlanmış bozuklukları,Other specified disorders of brain,G93,true
G93.9,"Beyin bozuklukları, tanımlanmamış","Disorder of brain, unspecified",G93,true
G94,Başka yerde sınıflanmış hastalıklarda beynin diğer bozuklukları,,G90-G99,false
G94.0,Başka yerde sınıflanmış enfeksiyöz ve paraziter hastalıklarda hidrosefali (A00-B99†),Hydrocephalus in infectious and parasitic diseases classified elsewhere,G94,true
G94.1,Neoplastik hastalıkta hidrosefali (C00-D48†),Hydrocephalus in neoplastic disease,G94,true
G94.2,Başka yerde sınıflanmış diğer hastalıklarda hidrosefali,Hydrocephalus in other diseases classified elsewhere,G94,true
G94.8,Başka yerde sınıflanmış hastalıklarda beynin diğer tanımlanmış bozuklukları,Other specified disorders of brain in diseases classified elsewhere,G94,true
G95,Omuriliğin diğer hastalıkları,,G90-G99,false
G95.0,Siringomiyeli ve siringobulbi,Syringomyelia and syringobulbia,G95,true
G95.1,Vasküler miyelopatiler,Vascular myelopathies,G95,true
G95.2,"Kord basısı, tanımlanmamış","Cord compression, unspecified",G95,true
G95.8,Omuriliğin diğer tanımlanmış hastalıkları,Other specified diseases of spinal cord,G95,true
G95.9,"Omurilik hastalığı, tanımlanmamış","Disease of spinal cord, unspecified",G95,true
G96,Merkezi sinir sisteminin diğer bozuklukları,,G90-G99,false
G96.0,Beyin-omurilik sıvısı kaçağı,Cerebrospinal fluid leak,G96,true
G96.1,"Meninkslerin bozuklukları, başka yerde sınıflandırılmamış","Disorders of meninges, not elsewhere classified",G96,true
G96.8,Merkezi sinir sisteminin diğer tanımlanmış bozuklukları,Other specified disorders of central nervous system,G96,true
G96.9,"Merkezi sinir sistemi bozukluğu, tanımlanmamış","Disorder of central nervous system, unspecified",G96,true
G97,"Sinir sisteminin işlem sonrası bozuklukları, başka yerde sınıflandırılmamış",,G90-G99,false
G97.0,Spinal ponksiyondan beyin-omurilik sıvısı kaçağı,Cerebrospinal fluid leak from spinal puncture,G97,true
G97.1,Spinal ve lomber ponksiyona diğer reaksiyon,Other reaction to spinal and lumbar puncture,G97,true
G97.2,Ventriküler şantı takiben intrakranyal hipotansiyon,Intracranial hypotension following ventricular shunting,G97,true
G97.8,Sinir sisteminin diğer girişim sonrası bozuklukları,Other postprocedural disorders of nervous system,G97,true
G97.9,"Sinir sisteminin girişim sonrası bozukluğu, tanımlanmamış","Postprocedural disorder of nervous system, unspecified",G97,true
G98,"Sinir sisteminin diğer bozuklukları, başka yerde sınıflandırılmamış","Other disorders of nervous system, not elsewhere classified",G90-G99,true
G99,Başka yerde sınıflanmış hastalıklarda sinir sisteminin diğer bozuklukları,,G90-G99,false
G99.0,Endokrin ve metabolik hastalıklarda otonom nöropati,Autonomic neuropathy in endocrine and metabolic diseases,G99,true
G99.1,"Başka yerde sınıflanmış diğer hastalıklarda otonom sinir sisteminin diğer bozuklukları,",Other disorders of autonomic nervous system in other diseases classified elsewhere,G99,true
G99.2,Başka yerde sınıflanmış diğer hastalıklarda miyelopati,Myelopathy in diseases classified elsewhere,G99,true
G99.8,Başka yerde sınıflanmış hastalıklarda sinir sisteminin diğer tanımlanmış bozuklukları,Other specified disorders of nervous system in diseases classified elsewhere,G99,true
H00-H59,Göz ve adnekslerin hastalıkları,,,false
H00-H06,"Göz kapağı, lakrimal sistem ve orbita bozuklukları",,H00-H59,false
H00,Arpacık ve şalazyon,,H00-H06,false
H00.0,Arpacık ve göz kapağının diğer derin enflamasyonu,Hordeolum and other deep inflammation of eyelid,H00,true
H00.1,Şalazyon,Chalazion,H00,true
H01,Göz kapağının diğer enflamasyonu,,H00-H06,false
H01.0,Blefarit,Blepharitis,H01,true
H01.1,Göz kapağının nonenfeksiyöz dermatozları,Noninfectious dermatoses of eyelid,H01,true
H01.8,Göz kapağının diğer tanımlanmış enflamasyonu,Other specified inflammation of eyelid,H01,true
H01.9,"Göz kapağının enflamasyonu, tanımlanmamış","Inflammation of eyelid, unspecified",H01,true
H02,Göz kapağının diğer bozuklukları,,H00-H06,false
H02.0,Göz kapağının entropiyon ve trikiyazı,Entropion and trichiasis of eyelid,H02,true
H02.1,Göz kapağının ektropiyonu,Ectropion of eyelid,H02,true
H02.2,Lagoftalmus,Lagophthalmos,H02,true
H02.3,Blefaroşalazi,Blepharochalasis,H02,true
H02.4,Göz kapağı pitozu,Ptosis of eyelid,H02,true
H02.5,Göz kapağı fonksiyonunu etkileyen diğer bozukluklar,Other disorders affecting eyelid function,H02,true
H02.6,Göz kapağının ksantelezması,Xanthelasma of eyelid,H02,true
H02.7,Göz kapağı ve perioküler bölgenin diğer dejeneratif bozuklukları,Other degenerative disorders of eyelid and periocular area,H02,true
H02.8,Göz kapağının diğer tanımlanmış bozuklukları,Other specified disorders of eyelid,H02,true
H02.9,"Göz kapağı bozukluğu, tanımlanmamış","Disorder of eyelid, unspecified",H02,true
H03,Başka yerde sınıflanmış hastalıklarda göz kapağı bozuklukları,,H00-H06,false
H03.0,Başka yerde sınıflanmış hastalıklarda göz kapağının paraziter enfestasyonu,Parasitic infestation of eyelid in diseases classified elsewhere,H03,true
H03.1,Başka yerde sınıflanmış diğer enfeksiyöz hastalıklarda göz kapağı tutulumu,Involvement of eyelid in other infectious diseases classified elsewhere,H03,true
H03.8,Başka yerde sınıflanmış diğer hastalıklarda göz kapağı tutulumu,Involvement of eyelid in other diseases classified elsewhere,H03,true
H04,Lakrimal sistem bozuklukları,,H00-H06,false
H04.0,Dakriyoadenit,Dacryoadenitis,H04,true
H04.1,Lakrimal bezin diğer bozuklukları,Other disorders of lacrimal gland,H04,true
H04.2,Epifora,Epiphora,H04,true
H04.3,Lakrimal pasajların akut ve tanımlanmamış enflamasyonu,Acute and unspecified inflammation of lacrimal passages,H04,true
H04.4,Lakrimal pasajların kronik enflamasyonu,Chronic inflammation of lacrimal passages,H04,true
H04.5,Lakrimal pasajların stenozu ve yetmezliği,Stenosis and insufficiency of lacrimal passages,H04,true
H04.6,Lakrimal pasajlarda diğer değişiklikler,Other changes in lacrimal passages,H04,true
H04.8,Lakrimal sistemin diğer bozuklukları,Other disorders of lacrimal system,H04,true
H04.9,"Lakrimal sistem bozukluğu, tanımlanmamış","Disorder of lacrimal system, unspecified",H04,true
H05,Orbita bozuklukları,,H00-H06,false
H05.0,Orbitanın akut enflamasyonu,Acute inflammation of orbit,H05,true
H05.1,Orbitanın kronik enflamatuvar bozuklukları,Chronic inflammatory disorders of orbit,H05,true
H05.2,Ekzoftalmik durumlar,Exophthalmic conditions,H05,true
H05.3,Orbita deformitesi,Deformity of orbit,H05,true
H05.4,Enoftalmi,Enophthalmos,H05,true
H05.5,Orbitanın penetran yaralanmasını takiben kalmış (eski) yabancı cisim,Retained (old) foreign body following penetrating wound of orbit,H05,true
H05.8,Orbitanın diğer bozuklukları,Other disorders of orbit,H05,true
H05.9,"Orbita bozukluğu, tanımlanmamış","Disorder of orbit, unspecified",H05,true
H06,Başka yerde sınıflanmış hastalıklarda lakrimal sistem ve orbita bozuklukları,,H00-H06,false
H06.0,Başka yerde sınıflanmış hastalıklarda lakrimal sistem bozuklukları,Disorders of lacrimal system in diseases classified elsewhere,H06,true
H06.1,Başka yerde sınıflanmış hastalıklarda orbitanın paraziter enfestasyonu,Parasitic infestation of orbit in diseases classified elsewhere,H06,true
H06.2,Distiroid ekzoftalmus (E05.-†),Dysthyroid exophthalmos,H06,true
H06.3,Başka yerde sınıflanmış hastalıklarda orbitanın diğer bozuklukları,Other disorders of orbit in diseases classified elsewhere,H06,true
H10-H13,Konjonktiva bozuklukları,,H00-H59,false
H10,Konjonktivit,,H10-H13,false
H10.0,Mukopürülan konjonktivit,Mucopurulent conjunctivitis,H10,true
H10.1,Akut atopik konjonktivit,Acute atopic conjunctivitis,H10,true
H10.2,Diğer akut konjonktivit,Other acute conjunctivitis,H10,true
H10.3,"Akut konjonktivit, tanımlanmamış","Acute conjunctivitis, unspecified",H10,true
H10.4,Kronik konjonktivit,Chronic conjunctivitis,H10,true
H10.5,Blefarokonjonktivit,Blepharoconjunctivitis,H10,true
H10.8,Diğer konjonktivit,Other conjunctivitis,H10,true
H10.9,"Konjonktivit, tanımlanmamış","Conjunctivitis, unspecified",H10,true
H11,Konjonktivanın diğer bozuklukları,,H10-H13,false
H11.0,Piterjiyum,Pterygium,H11,true
H11.1,Konjonktival dejenerasyon ve birikimler,Conjunctival degenerations and deposits,H11,true
H11.2,Konjonktival skarlar,Conjunctival scars,H11,true
H11.3,Konjonktival hemoraji,Conjunctival haemorrhage,H11,true
H11.4,Diğer konjuktival vasküler bozukluklar ve kistler,Other conjunctival vascular disorders and cysts,H11,true
H11.8,Konjonktivanın diğer tanımlanmış bozuklukları,Other specified disorders of conjunctiva,H11,true
H11.9,"Konjuktiva bozukluğu, tanımlanmamış","Disorder of conjunctiva, unspecified",H11,true
H13,Başka yerde sınıflanmış hastalıklarda konjonktiva bozuklukları,,H10-H13,false
H13.0,Konjuktivanın filaryal enfeksiyonu (B74.-†),Filarial infection of conjunctiva,H13,true
H13.1,Başka yerde sınıflanmış enfeksiyöz ve paraziter hastalıklarda konjonktivit,Conjunctivitis in infectious and parasitic diseases classified elsewhere,H13,true
H13.2,Başka yerde sınıflanmış diğer hastalıklarda konjonktivit,Conjunctivitis in other diseases classified elsewhere,H13,true
