atc_code,description_en,description_tr,description_tr_source
A03AB01,benzilone,benzilon,llm
A03AB02,glycopyrronium bromide,glikopironyum bromür,llm
A03AB03,oxyphenonium,oksifenonyum,llm
A03AB04,penthienate,pentienat,llm
A03AB05,propantheline,propantelin,llm
A03AB06,otilonium bromide,otilonium bromide,titck
A03AB07,methantheline,metantelin,llm
A03AB08,tridihexethyl,tridiheksetil,llm
A03AB09,isopropamide,izopropamid,llm
A03AB10,hexocyclium,heksosiklyum,llm
A03AB11,poldine,poldin,llm
A03AB12,mepenzolate,mepenzolat,llm
A03AB13,bevonium,bevonyum,llm
A03AB14,pipenzolate,"synthetic anticholinergics, quaternary ammonium compounds",titck
A03AB15,diphemanil,difemanil,llm
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,(2-benzhidriloksietil)dietil-metilamonyum iyodür,llm
A03AB17,tiemonium iodide,tiemonyum iyodür,llm
A03AB18,prifinium bromide,prifinyum bromür,llm
A03AB19,timepidium bromide,timepidyum bromür,llm
A03AB21,fenpiverinium,fenpiverinyum,llm
A03AB53,"oxyphenonium, combinations","oksifenonyum, kombinasyonlar",llm
A03AC02,dimethylaminopropionylphenothiazine,dimetilaminopropionilfenotiazin,llm
A03AC04,nicofetamide,nikofetamid,llm
A03AC05,tiropramide,tiropramid,llm
A03AD01,papaverine,papaverin hcl,titck
A03AD02,drotaverine,drotaverin,llm
A03AD30,moxaverine,moksaverin,llm
A03AE01,alosetron,alosetron,llm
A03AE03,cilansetron,silansetron,llm
A03AX01,fenpiprane,fenpipran,llm
A03AX02,diisopromine,diizopromin,llm
A03AX03,chlorbenzoxamine,klorbenzoksamin,llm
A03AX04,pinaverium,pinaveryum bromür,titck
A03AX05,fenoverine,fenoverin,llm
A03AX06,idanpramine,idanpramin,llm
A03AX07,proxazole,proksazol,llm
A03AX08,alverine,alverin,llm
A03AX09,trepibutone,trepibuton,llm
A03AX10,isometheptene,izometepten,llm
A03AX11,caroverine,karoverin,llm
A03AX12,phloroglucinol,floroglüsinol,llm
A03AX13,silicones,simetikon,titck
A03AX14,valethamate,valetamat bromür,titck
A03AX15,menthae piperitae aetheroleum,menthae piperitae aetheroleum,llm
A03AX30,trimethyldiphenylpropylamine,trimetildifenilpropilamin,llm
A03AX58,"alverine, combinations","alverin sitrat, simetikon",titck
A03BA01,atropine,atropin sülfat,titck
A03BA03,hyoscyamine,hiyosiyamin,llm
A03BA04,belladonna total alkaloids,belladon total alkaloidleri,llm
A03BB01,butylscopolamine,hiyosin n-butil-bromür,titck
A03BB02,methylatropine,metilatropin,llm
A03BB03,methylscopolamine,metilskopolamin,llm
A03BB04,fentonium,fentonyum,llm
A03BB05,cimetropium bromide,simetropiyum bromür,llm
A03BB06,homatropine methylbromide,homatropin metilbromür,llm
A03CA01,isopropamide and psycholeptics,izopropamid ve psikoleptikler,llm
A03CA02,clidinium and psycholeptics,klordiazepoksit/klidinyum bromür,titck
A03CA03,oxyphencyclimine and psycholeptics,oksifensiklimin ve psikoleptikler,llm
A03CA04,otilonium bromide and psycholeptics,otilonyum bromür ve psikoleptikler,llm
A03CA05,glycopyrronium bromide and psycholeptics,glikopironyum bromür ve psikoleptikler,llm
A03CA06,bevonium and psycholeptics,bevonyum ve psikoleptikler,llm
A03CA07,ambutonium and psycholeptics,ambutonyum ve psikoleptikler,llm
A03CA08,diphemanil and psycholeptics,difemanil ve psikoleptikler,llm
A03CA09,pipenzolate and psycholeptics,pipenzolat ve psikoleptikler,llm
A03CA30,emepronium and psycholeptics,emepronyum ve psikoleptikler,llm
A03CA34,propantheline and psycholeptics,propantelin ve psikoleptikler,llm
A03CB01,methylscopolamine and psycholeptics,metilskopolamin ve psikoleptikler,llm
A03CB02,belladonna total alkaloids and psycholeptics,belladon total alkaloidleri ve psikoleptikler,llm
A03CB03,atropine and psycholeptics,atropin ve psikoleptikler,llm
A03CB04,homatropine methylbromide and psycholeptics,homatropin metilbromür ve psikoleptikler,llm
A03CB31,hyoscyamine and psycholeptics,hiyosiyamin ve psikoleptikler,llm
A03DA01,tropenzilone and analgesics,tropenzilon ve analjezikler,llm
A03DA02,pitofenone and analgesics,pitofenon ve analjezikler,llm
A03DA03,bevonium and analgesics,bevonyum ve analjezikler,llm
A03DA04,ciclonium and analgesics,siklonyum ve analjezikler,llm
A03DA05,camylofin and analgesics,kamilofin ve analjezikler,llm
A03DA06,trospium and analgesics,trospiyum ve analjezikler,llm
A03DA07,tiemonium iodide and analgesics,tiemonyum iyodür ve analjezikler,llm
A03DB04,butylscopolamine and analgesics,"hiyosin n-butil-bromür, parasetamol",titck
A03FA01,metoclopramide,metoclopramide,titck
A03FA02,cisapride,sisaprid,titck
A03FA03,domperidone,domperidon,titck
A03FA04,bromopride,bromoprid,llm
A03FA05,alizapride,alizaprid,llm
A03FA06,clebopride,kleboprid,llm
A03FA07,itopride,itoprid hcl,titck
A03FA08,cinitapride,sinitaprid,llm
A03FA09,mosapride,mosaprid,llm
A03FA10,acotiamide,akotiamid,llm
A04AA01,ondansetron,ondansetron,titck
A04AA02,granisetron,granisetron hidroklorür,titck
A04AA03,tropisetron,tropisetron,titck
A04AA04,dolasetron,dolasetron,llm
A04AA05,palonosetron,palonosetron hidroklorür,titck
A04AA55,"palonosetron, combinations","palonosetron, kombinasyonlar",llm
A04AD01,scopolamine,skopolamin,llm
A04AD02,cerium oxalate,seryum oksalat,llm
A04AD04,chlorobutanol,klorobutanol,llm
A04AD05,metopimazine,metopimazin,llm
A04AD10,dronabinol,dronabinol,llm
A04AD11,nabilone,nabilon,llm
A04AD12,aprepitant,fosaprepitant dimeglumin,titck
A04AD13,casopitant,kazopitant,llm
A04AD14,rolapitant,rolapitant,llm
A04AD51,"scopolamine, combinations","skopolamin, kombinasyonlar",llm
A04AD54,"chlorobutanol, combinations","klorobutanol, kombinasyonlar",llm
A05AA01,chenodeoxycholic acid,kenodeoksikolik asit,titck
A05AA02,ursodeoxycholic acid,ursodeoksikolik asit,titck
A05AA03,cholic acid,kolik asit,llm
A05AA04,obeticholic acid,obetikolik asit,llm
A05AA05,ursodoxicoltaurine,ursodoksikoltaurin,llm
A05AA06,norucholic acid,norukolik asit,llm
A05AB01,nicotinyl methylamide,nikotinil metilamid,llm
A05AX01,piprozolin,piprozolin,llm
A05AX02,hymecromone,hymecromone,titck
A05AX03,cyclobutyrol,siklobutirol,llm
A05AX04,maralixibat chloride,maraliksibat klorür,llm
A05AX05,odevixibat,odeviksibat,llm
A05AX06,elafibranor,elafibranor,llm
A05AX07,seladelpar,seladelpar,llm
A05AX08,linerixibat,linerixibat,llm
A05BA01,arginine glutamate,arjinin glutamat,llm
A05BA03,silymarin,silimarin,llm
A05BA04,citiolone,sitiolon,llm
A05BA05,epomediol,epomediol,llm
A05BA06,ornithine oxoglurate,ornitin oksoglurat,llm
A05BA07,tidiacic arginine,tidiasik arjinin,llm
A05BA08,glycyrrhizic acid,glisirizik asit,llm
A05BA09,metadoxine,metadoksin,llm
A05BA10,phospholipids,fosfolipidler,llm
A05BA11,resmetirom,resmetirom,llm
A06AA01,liquid paraffin,vazelin likid,titck
A06AA02,docusate sodium,dokuzat sodyum,llm
A06AA51,"liquid paraffin, combinations","likit parafin, kombinasyonlar",llm
A06AB01,oxyphenisatine,oksifenizatin,llm
A06AB02,bisacodyl,bisakodil,titck
A06AB03,dantron,dantron,llm
A06AB04,phenolphthalein,phenolphthalein,titck
A06AB05,castor oil,castor oil,titck
A06AB06,senna glycosides,sennosid a+b kalsiyum,titck
A06AB07,cascara,kaskara,llm
A06AB08,sodium picosulfate,sodyum pikosülfat monohidrat,titck
A06AB09,bisoxatin,bisoksatin,llm
A06AB20,contact laxatives in combination,bisakodil ve sennosid,titck
A06AB30,contact laxatives in combination with belladonna alkaloids,belladon alkaloidleri ile kombinasyonda temas laksatifleri,llm
A06AB52,"bisacodyl, combinations","bisakodil, kombinasyonlar",llm
A06AB53,"dantron, combinations","dantron, kombinasyonlar",llm
A06AB56,"senna glycosides, combinations","senna glikozidleri, kombinasyonlar",llm
A06AB57,"cascara, combinations","kaskara, kombinasyonlar",llm
A06AB58,"sodium picosulfate, combinations",sodyum pikosülfat + hafif magnezyum oksit + susuz sitrik asit,titck
A06AC01,ispaghula (psylla seeds),ispaghula husk,titck
A06AC02,ethulose,etuloz,llm
A06AC03,sterculia,sterkulya,llm
A06AC05,linseed,keten tohumu,llm
A06AC06,methylcellulose,metilselüloz,llm
A06AC07,triticum (wheat fibre),triticum (buğday lifi),llm
A06AC08,polycarbophil calcium,polikarbofil kalsiyum,llm
A06AC51,"ispaghula, combinations","ispagula, kombinasyonlar",llm
A06AC53,"sterculia, combinations","sterkulya, kombinasyonlar",llm
A06AC55,"linseed, combinations","keten tohumu, kombinasyonlar",llm
A06AD01,magnesium carbonate,magnezyum karbonat,llm
A06AD02,magnesium oxide,magnezyum oksit,llm
A06AD03,magnesium peroxide,magnezyum peroksit,llm
A06AD04,magnesium sulfate,magnezyum sülfat,llm
A06AD10,mineral salts in combination,"sodyum dihidrojen fosfat monohidrat, di-sodyum hidrojen fosfat heptahidrat",titck
A06AD11,lactulose,laktüloz,titck
A06AD12,lactitol,laktitol,llm
A06AD13,sodium sulfate,sodyum sülfat,llm
A06AD14,pentaerithrityl,pentaeritritil,llm
A06AD15,macrogol,makrogol 4000,titck
A06AD16,mannitol,mannitol,llm
A06AD17,sodium phosphate,"monobazik sodyum fosfat monohidrat, dibazik sodyum fosfat heptahidrat",titck
A06AD18,sorbitol,sorbitol,llm
A06AD19,magnesium citrate,magnezyum sitrat,llm
A06AD21,sodium tartrate,"sodyum bikarbonat, tartarik asit",titck
A06AD61,"lactulose, combinations","laktüloz, kombinasyonlar",llm
A06AD65,"macrogol, combinations","makrogol 3350, sodyum klorür, sodyum bikarbonat, potasyum klorür",titck
A06AG01,sodium phosphate,"monobazik sodyum fosfat monohidrat, dibazik sodyum fosfat heptahidrat",titck
A06AG02,bisacodyl,bisakodil,titck
A06AG03,"dantron, incl. combinations","dantron, kombinasyonlar dahil",llm
A06AG04,glycerol,gliserol,llm
A06AG06,oil,yağ,llm
A06AG07,sorbitol,sorbitol,llm
A06AG10,"docusate sodium, incl. combinations","dokuzat sodyum, kombinasyonlar dahil",llm
A06AG11,"sodium lauryl sulfoacetate, incl. combinations","sodyum lauril sülfoasetat, kombinasyonlar dahil",llm
A06AG20,combinations,combinations,titck
A06AH01,methylnaltrexone bromide,metilnaltrekson bromür,llm
A06AH02,alvimopan,alvimopan,llm
A06AH03,naloxegol,naloksegol,llm
A06AH04,naloxone,nalokson,llm
A06AH05,naldemedine,naldemedin,llm
A06AX01,glycerol,glycerol,titck
A06AX02,carbon dioxide producing drugs,karbondioksit üreten ilaçlar,llm
A06AX03,lubiprostone,lubiproston,llm
A06AX04,linaclotide,linaklotid,llm
A06AX05,prucalopride,prukaloprid,llm
A06AX06,tegaserod,tegaserod,llm
A06AX07,plecanatide,plekanatid,llm
A06AX08,tenapanor,tenapanor,llm
A06AX09,elobixibat,elobiksibat,llm
A07AA01,neomycin,neomisin,llm
A07AA02,nystatin,nistadin,titck
A07AA03,natamycin,natamisin,llm
A07AA04,streptomycin,streptomisin,llm
A07AA05,polymyxin B,polimiksin b,llm
A07AA06,paromomycin,paromomisin,llm
A07AA07,amphotericin B,amfoterisin b,llm
A07AA08,kanamycin,kanamisin,llm
A07AA09,vancomycin,vankomisin,llm
A07AA10,colistin,kolistin,llm
A07AA11,rifaximin,rifaksimin,titck
A07AA12,fidaxomicin,fidaksomisin,titck
A07AA13,rifamycin,rifamisin,llm
A07AA51,"neomycin, combinations","neomisin, kombinasyonlar",llm
A07AA54,"streptomycin, combinations","streptomisin, kombinasyonlar",llm
A07AB02,phthalylsulfathiazole,ftalilsülfatiazol,llm
A07AB03,sulfaguanidine,sülfaguanidin,llm
A07AB04,succinylsulfathiazole,süksinilsülfatiazol,llm
A07AC01,miconazole,mikonazol,llm
A07AX01,broxyquinoline,broksikinolin,llm
A07AX02,acetarsol,asetarsol,llm
A07AX03,nifuroxazide,nifuroxazide,titck
A07AX04,nifurzide,nifurzid,llm
A07BA01,medicinal charcoal,aktif kömür,titck
A07BA51,"medicinal charcoal, combinations","aktif karbon, kükürt, fenolftalein, senne (sinameki) ekstresi, rubarb (ışgın) ekstresi",titck
A07BC01,pectin,pektin,llm
A07BC02,kaolin,kaolin,llm
A07BC03,crospovidone,krospovidon,llm
A07BC04,attapulgite,aktive attapuljit,titck
A07BC05,diosmectite,diosmektit,llm
A07BC30,combinations,kombinasyonlar,llm
A07BC54,"attapulgite, combinations","attapulgite, combinations",titck
A07DA01,diphenoxylate,difenoksilat hidroklorid + atropin sülfat,titck
A07DA02,opium,afyon,llm
A07DA03,loperamide,loperamid,titck
A07DA04,difenoxin,difenoksin,llm
A07DA05,loperamide oxide,loperamid oksit,llm
A07DA06,eluxadoline,eluksadolin,llm
A07DA52,"morphine, combinations","morfin, kombinasyonlar",llm
A07DA53,"loperamide, combinations","loperamid, kombinasyonlar",llm
A07EA01,prednisolone,prednizolon,llm
A07EA02,hydrocortisone,hidrokortizon,llm
A07EA03,prednisone,prednizon,llm
A07EA04,betamethasone,betametazon,llm
A07EA05,tixocortol,tiksokortol,llm
A07EA06,budesonide,budesonid,titck
A07EA07,beclometasone,beklometazon,llm
A07EB01,cromoglicic acid,kromoglisik asit,llm
A07EC01,sulfasalazine,sülfasalazin,titck
A07EC02,mesalazine,mesalazin,titck
A07EC03,olsalazine,olsalazin,llm
A07EC04,balsalazide,balsalazid,llm
A07FA01,lactic acid producing organisms,lactic acid producing organisms,titck
A07FA02,saccharomyces boulardii,saccharomyces boulardii,titck
A07FA03,escherichia coli,escherichia coli,llm
A07FA51,"lactic acid producing organisms, combinations",bifidobacterium breve+bifidobacterium infantis+lactobailus asidofilus+çinko sülfat heptahidrat0,titck
A07XA01,albumin tannate,albumin tannat,llm
A07XA02,ceratonia,seratonia,llm
A07XA03,calcium compounds,kalsiyum bileşikleri,llm
A07XA04,racecadotril,rasekadotril,titck
A07XA06,crofelemer,krofelemer,llm
A07XA51,"albumin tannate, combinations","albumin tannat, kombinasyonlar",llm
A08AA01,phentermine,fentermin,llm
A08AA02,fenfluramine,fenfluramin,llm
A08AA03,amfepramone,amfepramon,llm
A08AA04,dexfenfluramine,deksfenfluramin,llm
A08AA05,mazindol,mazindol,llm
A08AA06,etilamfetamine,etilamfetamin,llm
A08AA07,cathine,katin,llm
A08AA08,clobenzorex,klobenzoreks,llm
A08AA09,mefenorex,mefenoreks,llm
A08AA10,sibutramine,sibutramin,llm
A08AA11,lorcaserin,lorkaserin,llm
A08AA12,setmelanotide,setmelanotid,llm
A08AA51,phentermine and topiramate,fentermin ve topiramat,llm
A08AA56,"ephedrine, combinations","efedrin, kombinasyonlar",llm
A08AA62,bupropion and naltrexone,bupropion ve naltrekson,llm
A08AB01,orlistat,orlistat,titck
A08AX01,rimonabant,rimonabant,llm
A09AA01,diastase,diastaz,llm
A09AA02,"multienzymes (lipase, protease etc.)",pankreatin,titck
A09AA03,pepsin,pepsin,llm
A09AA04,tilactase,tilaktaz,titck
A09AB01,glutamic acid hydrochloride,glutamik asit hidroklorür,llm
A09AB02,betaine hydrochloride,betain hidroklorür,llm
A09AB03,hydrochloric acid,hidroklorik asit,llm
A09AB04,citric acid,sitrik asit,llm
A09AC01,pepsin and acid preparations,"mide mukoza tozu, glutamik asit hcl",titck
A09AC02,multienzymes and acid preparations,multienzimler ve asit preparatları,llm
A10AB01,insulin (human),insulin (human),titck
A10AB02,insulin (beef),insülin (sığır),llm
A10AB03,insulin (pork),insülin (domuz),llm
A10AB04,insulin lispro,insulin lispro,titck
A10AB05,insulin aspart,insülin aspart,titck
A10AB06,insulin glulisine,insulin glulisin,titck
A10AB30,combinations,kombinasyonlar,llm
A10AC01,insulin (human),insulin (human),titck
A10AC02,insulin (beef),insülin (sığır),llm
A10AC03,insulin (pork),insülin (domuz),llm
A10AC04,insulin lispro,insülin lispro,llm
A10AC30,combinations,kombinasyonlar,llm
A10AD01,insulin (human),insulin (human),titck
A10AD02,insulin (beef),insülin (sığır),llm
A10AD03,insulin (pork),insülin (domuz),llm
A10AD04,insulin lispro,"% 25 insülin lispro, % 75 insülin lispro protamin",titck
A10AD05,insulin aspart,insulin aspart,titck
A10AD06,insulin degludec and insulin aspart,"insulin degludek, insulin aspart",titck
A10AD30,combinations,bifazik izofan biyosentetik insan insülini,titck
A10AE01,insulin (human),insülin (insan),llm
A10AE02,insulin (beef),insülin (sığır),llm
A10AE03,insulin (pork),insülin (domuz),llm
A10AE04,insulin glargine,insülin glarjin,titck
A10AE05,insulin detemir,insulin detemir,titck
A10AE06,insulin degludec,insulin degludek,titck
A10AE07,insulin icodec,insülin ikodek,llm
A10AE30,combinations,kombinasyonlar,llm
A10AE54,insulin glargine and lixisenatide,insülin glarjin/liksisenatid,titck
A10AE56,insulin degludec and liraglutide,"liraglutid, insülin degludek",titck
A10AE57,insulin icodec and semaglutide,insülin ikodek ve semaglutid,llm
A10AF01,insulin (human),insülin (insan),llm
A10BA01,phenformin,fenformin,llm
A10BA02,metformin,metformin hidroklorür,titck
A10BA03,buformin,buformin,llm
A10BB01,glibenclamide,glibenklamid,titck
A10BB02,chlorpropamide,klorpropamid,titck
A10BB03,tolbutamide,tolbutamid,llm
A10BB04,glibornuride,glibornurid,titck
A10BB05,tolazamide,tolazamid,llm
A10BB06,carbutamide,karbutamid,llm
A10BB07,glipizide,glipizid,titck
A10BB08,gliquidone,glikuidon,llm
A10BB09,gliclazide,gliklazid,titck
A10BB10,metahexamide,metaheksamid,llm
A10BB11,glisoxepide,glisoksepid,llm
A10BB12,glimepiride,glimepirid,titck
A10BB31,acetohexamide,asetoheksamid,llm
A10BC01,glymidine,glimidin,llm
A10BD01,phenformin and sulfonylureas,fenformin ve sülfonilüreler,llm
A10BD02,metformin and sulfonylureas,"metformin hcl, glibenklamid",titck
A10BD03,metformin and rosiglitazone,metformin ve rosiglitazon,llm
A10BD04,glimepiride and rosiglitazone,glimepirid ve rosiglitazon,llm
A10BD05,metformin and pioglitazone,"pioglitazon hidroklorür, metformin hidroklorür",titck
A10BD06,glimepiride and pioglitazone,glimepirid ve pioglitazon,llm
A10BD07,metformin and sitagliptin,"metformin hidroklorür, sitagliptin",titck
A10BD08,metformin and vildagliptin,"vildagliptin, metformin hidroklorür",titck
A10BD09,pioglitazone and alogliptin,pioglitazon ve alogliptin,llm
A10BD10,metformin and saxagliptin,metformin ve saksagliptin,llm
A10BD11,metformin and linagliptin,"linagliptin, metformin hidroklorür",titck
A10BD12,pioglitazone and sitagliptin,pioglitazon ve sitagliptin,llm
A10BD13,metformin and alogliptin,metformin ve alogliptin,llm
A10BD14,metformin and repaglinide,repaglinid ve metformin hcl,titck
A10BD15,metformin and dapagliflozin,"dapagliflozin, metformin hidroklorür",titck
A10BD16,metformin and canagliflozin,metformin ve kanagliflozin,llm
A10BD17,metformin and acarbose,metformin ve akarboz,llm
A10BD18,metformin and gemigliptin,metformin ve gemigliptin,llm
A10BD19,linagliptin and empagliflozin,empagliflozin [vandf]+linagliptin [vandf],titck
A10BD20,metformin and empagliflozin,"empagliflozin, metformin hidroklorür",titck
A10BD21,saxagliptin and dapagliflozin,"saksagliptin hidroklorür, dapagliflozin propandiol monohidrat",titck
A10BD22,metformin and evogliptin,metformin ve evogliptin,llm
A10BD23,metformin and ertugliflozin,metformin ve ertugliflozin,llm
A10BD24,sitagliptin and ertugliflozin,sitagliptin ve ertugliflozin,llm
A10BD25,"metformin, saxagliptin and dapagliflozin","metformin, saksagliptin ve dapagliflozin",llm
A10BD26,metformin and lobeglitazone,metformin ve lobeglitazon,llm
A10BD27,"metformin, linagliptin and empagliflozin","metformin, linagliptin ve empagliflozin",llm
A10BD28,metformin and teneligliptin,metformin ve teneligliptin,llm
A10BD29,sitagliptin and dapagliflozin,sitagliptin ve dapagliflozin,llm
A10BD30,gemigliptin and dapagliflozin,gemigliptin ve dapagliflozin,llm
A10BD31,"metformin, sitagliptin and dapagliflozin","metformin, sitagliptin ve dapagliflozin",llm
A10BD32,glimepiride and dapagliflozin,glimepirid ve dapagliflozin,llm
A10BD33,pioglitazone and dapagliflozin,pioglitazon ve dapagliflozin,llm
A10BD34,metformin and enavogliflozin,metformin ve enavogliflozin,llm
A10BF01,acarbose,akarboz,titck
A10BF02,miglitol,miglitol,titck
A10BF03,voglibose,vogliboz,titck
A10BG01,troglitazone,troglitazon,llm
A10BG02,rosiglitazone,rosiglitazon,llm
A10BG03,pioglitazone,pioglitazon hcl,titck
A10BG04,lobeglitazone,lobeglitazon,llm
A10BH01,sitagliptin,sitagliptin hidroklorür monohidrat,titck
A10BH02,vildagliptin,vildagliptin,titck
A10BH03,saxagliptin,saksagliptin hcl,titck
A10BH04,alogliptin,aloglipin benzoat,titck
A10BH05,linagliptin,linagliptin,titck
A10BH06,gemigliptin,gemigliptin,llm
A10BH07,evogliptin,evogliptin,llm
A10BH08,teneligliptin,teneligliptin,llm
A10BH51,sitagliptin and simvastatin,sitagliptin ve simvastatin,llm
A10BH52,gemigliptin and rosuvastatin,gemigliptin ve rosuvastatin,llm
A10BJ01,exenatide,eksenatid,titck
A10BJ02,liraglutide,liraglutide,titck
A10BJ03,lixisenatide,liksisenatid,titck
A10BJ04,albiglutide,albiglutid,llm
A10BJ05,dulaglutide,dulaglutide,titck
A10BJ06,semaglutide,semaglutid,titck
A10BJ07,beinaglutide,beinaglutid,llm
A10BK01,dapagliflozin,dapagliflozin,titck
A10BK02,canagliflozin,kanagliflozin,llm
A10BK03,empagliflozin,empagliflozin,titck
A10BK04,ertugliflozin,ertugliflozin,llm
A10BK05,ipragliflozin,ipragliflozin,llm
A10BK06,sotagliflozin,sotagliflozin,llm
A10BK07,luseogliflozin,luseogliflozin,llm
A10BK08,bexagliflozin,beksagliflozin,llm
A10BK09,enavogliflozin,enavogliflozin,llm
A10BX01,guar gum,guar gam,llm
A10BX02,repaglinide,repaglinid,titck
A10BX03,nateglinide,nateglinid,titck
A10BX05,pramlintide,pramlintid,llm
A10BX06,benfluorex,benfluoreks,llm
A10BX08,mitiglinide,mitiglinid,llm
A10BX15,imeglimin,imeglimin,llm
A10BX16,tirzepatide,tirzepatid,titck
A10BX17,carfloglitazar,karfloglitazar,llm
A10BX18,dorzagliatin,dorzagliyatin,llm
A10XA01,tolrestat,tolrestat,llm
A10XX01,teplizumab,teplizumab,llm
A10XX02,donislecel,donislesel,llm
A11AA01,multivitamins and iron,multivitaminler ve demir,llm
A11AA02,multivitamins and calcium,multivitaminler ve kalsiyum,llm
A11AA03,"multivitamins and other minerals, incl. combinations",multivitamin kompleksi,titck
A11AA04,multivitamins and trace elements,multivitamins and trace elements,titck
A11CA01,retinol (vit A),a vitamini (retinol asetat),titck
A11CA02,betacarotene,betacarotene,titck
A11CC01,ergocalciferol,kalsiferol,titck
A11CC02,dihydrotachysterol,dihidrotakisterol,llm
A11CC03,alfacalcidol,alfacalcidol,titck
A11CC04,calcitriol,kalsitriol,titck
A11CC05,colecalciferol,kolekalsiferol (vitamin d3),titck
A11CC06,calcifediol,kalsifediol,llm
A11CC20,combinations,kombinasyonlar,llm
A11CC55,"colecalciferol, combinations","kolekalsiferol, kombinasyonlar",llm
A11DA01,thiamine (vit B1),tiamin hcl (vitamin b1),titck
A11DA02,sulbutiamine,sulbutiamine,titck
A11DA03,benfotiamine,benfotiamin,titck
A11GA01,ascorbic acid (vit C),askorbik asit (vit c),titck
A11GB01,ascorbic acid (vit C) and calcium,askorbik asit (vit c) ve kalsiyum,llm
A11HA01,nicotinamide,nikotinamid,llm
A11HA02,pyridoxine (vit B6),b6 vitamini,titck
A11HA03,tocopherol (vit E),d-alfa-tokoferol,titck
A11HA04,riboflavin (vit B2),riboflavin (vit b2),llm
A11HA05,biotin,biotin,titck
A11HA06,pyridoxal phosphate,piridoksal fosfat,llm
A11HA07,inositol,inositol,llm
A11HA08,tocofersolan,tokofersolan,llm
A11HA30,dexpanthenol,dekspantenol,titck
A11HA31,calcium pantothenate,kalsiyum pantotenat,llm
A11HA32,pantethine,pantetin,llm
A12AA01,calcium phosphate,kalsiyum fosfat,llm
A12AA02,calcium glubionate,calcium glubionate,titck
A12AA03,calcium gluconate,kalsiyum glukonat,llm
A12AA04,calcium carbonate,kalsiyum karbonat,titck
A12AA05,calcium lactate,kalsiyum laktat,llm
A12AA06,calcium lactate gluconate,kalsiyum laktat glukonat,llm
A12AA07,calcium chloride,kalsiyum klorür,llm
A12AA08,calcium glycerylphosphate,kalsiyum gliserilfosfat,llm
A12AA09,calcium citrate lysine complex,kalsiyum sitrat lizin kompleksi,llm
A12AA10,calcium glucoheptonate,kalsiyum glukoheptonat,llm
A12AA11,calcium pangamate,kalsiyum pangamat,llm
A12AA13,calcium citrate,kalsiyum sitrat,llm
A12AA20,calcium (different salts in combination),calcium (different salts in combination),titck
A12AA30,calcium laevulate,kalsiyum levulat,llm
A12BA01,potassium chloride,potasyum klorür,llm
A12BA02,potassium citrate,potassium citrate,titck
A12BA03,potassium hydrogentartrate,potasyum hidrojentartrat,llm
A12BA04,potassium hydrogencarbonate,potasyum hidrojenkarbonat,llm
A12BA05,potassium gluconate,potasyum glukonat,llm
A12BA30,potassium (different salts in combination),potasyum sitrat monohidrat ve potasyum hidrojen karbonat,titck
A12BA51,"potassium, combinations","potassium chloride, amonyum klorur, glutanik asit, magnezyum",titck
A12CA01,sodium chloride,sodyum klorür,llm
A12CA02,sodium sulfate,sodyum sülfat,llm
A12CB01,zinc sulfate,çinko sülfat heptahidrat,titck
A12CB02,zinc gluconate,çinko glukonat,llm
A12CB03,zinc protein complex,çinko protein kompleksi,llm
A12CB04,zinc orotate,çinko orotat,llm
A12CC01,magnesium chloride,magnezyum klorür,llm
A12CC02,magnesium sulfate,magnezyum sülfat heptahidrat,titck
A12CC03,magnesium gluconate,magnezyum glukonat,llm
A12CC04,magnesium citrate,magnezyum sitrat anhidrit,titck
A12CC05,magnesium aspartate,magnezyum aspartat dihidrat,titck
A12CC06,magnesium lactate,magnezyum laktat,llm
A12CC07,magnesium levulinate,magnezyum levulinat,llm
A12CC08,magnesium pidolate,magnezyum pidolat,llm
A12CC09,magnesium orotate,magnezyum orotat,llm
A12CC10,magnesium oxide,magnezyum oksit,titck
A12CC30,magnesium (different salts in combination),magnezyum karbonat+magnezyum oksit,titck
A12CD01,sodium fluoride,sodyum florür,llm
A12CD02,sodium monofluorophosphate,sodyum monoflorofosfat,llm
A12CD51,"fluoride, combinations","florür, kombinasyonlar",llm
A12CE01,sodium selenate,sodyum selenat,llm
A12CE02,sodium selenite,sodyum selenit,llm
A14AA01,androstanolone,androstanolon,llm
A14AA02,stanozolol,stanozolol,llm
A14AA03,metandienone,metandrostenolon,titck
A14AA04,metenolone,metenolon enantat,titck
A14AA05,oxymetholone,oksimetolon,titck
A14AA06,quinbolone,kinbolon,llm
A14AA07,prasterone,prasteron,llm
A14AA08,oxandrolone,oksandrolon,llm
A14AA09,norethandrolone,noretandrolon,llm
A14AB01,nandrolone,nandrolondekanoat,titck
A14AB02,ethylestrenol,etilestrenol,llm
A14AB03,oxabolone cipionate,oksabolon sipionat,llm
A16AA01,levocarnitine,levokarnitin,titck
A16AA02,ademetionine,ademetiyonin,llm
A16AA03,glutamine,glutamine,titck
A16AA04,mercaptamine,merkaptamin,llm
A16AA05,carglumic acid,karglumik asit,titck
A16AA06,betaine,betain,titck
A16AA07,metreleptin,metreleptin,llm
A16AB01,alglucerase,alglukeraz,llm
A16AB02,imiglucerase,imigluseraz,titck
A16AB03,agalsidase alfa,agalsidase alfa,titck
A16AB04,agalsidase beta,agalsidaz beta,titck
